order_id,order_year,order_month,order_day,demand_phase,product_id,product_title,product_category,current_product_stock,client_id,price_inr,quantity_ordered
O04904,2014,1,26,pre_covid,P009,Yoga Mat,Gym Equipment,1098,C013,1500,12
O01053,2014,1,27,pre_covid,P009,Yoga Mat,Gym Equipment,1434,C007,1500,18
O07821,2014,1,27,pre_covid,P007,Treadmill,Gym Equipment,47,C001,42000,3
O03784,2014,1,28,pre_covid,P004,Air Purifier,Home & Kitchen,217,C015,12000,2
O06909,2014,1,28,pre_covid,P009,Yoga Mat,Gym Equipment,679,C017,1500,15
O00625,2014,1,29,pre_covid,P009,Yoga Mat,Gym Equipment,2043,C015,1500,15
O04725,2014,1,29,pre_covid,P007,Treadmill,Gym Equipment,67,C005,42000,2
O05114,2014,1,29,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,730,C013,3500,14
O03242,2014,2,1,pre_covid,P012,Festive Sarees,Fashion,1443,C007,6000,6
O01740,2014,2,2,pre_covid,P009,Yoga Mat,Gym Equipment,886,C006,1500,4
O06419,2014,2,2,pre_covid,P010,Men's Formal Shirts,Fashion,1781,C016,1800,15
O02125,2014,2,3,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,175,C006,8500,5
O01157,2014,2,4,pre_covid,P003,Smartphone,Electronics,211,C018,22000,2
O02538,2014,2,4,pre_covid,P002,Webcam & Headset Combo,Electronics,520,C007,4500,1
O04091,2014,2,4,pre_covid,P015,Drawing Tablet (EdTech),Stationery & EdTech,212,C010,7500,5
O04508,2014,2,4,pre_covid,P003,Smartphone,Electronics,245,C001,22000,3
O05303,2014,2,4,pre_covid,P005,Microwave Oven,Home & Kitchen,45,C007,9000,3
O04565,2014,2,5,pre_covid,P004,Air Purifier,Home & Kitchen,271,C008,12000,5
O04639,2014,2,5,pre_covid,P009,Yoga Mat,Gym Equipment,1341,C004,1500,1
O04257,2014,2,6,pre_covid,P004,Air Purifier,Home & Kitchen,100,C002,12000,4
O00417,2014,2,7,pre_covid,P004,Air Purifier,Home & Kitchen,164,C018,12000,6
O04595,2014,2,7,pre_covid,P004,Air Purifier,Home & Kitchen,260,C008,12000,1
O00911,2014,2,8,pre_covid,P015,Drawing Tablet (EdTech),Stationery & EdTech,181,C020,7500,3
O00926,2014,2,9,pre_covid,P015,Drawing Tablet (EdTech),Stationery & EdTech,162,C001,7500,6
O01638,2014,2,9,pre_covid,P010,Men's Formal Shirts,Fashion,2461,C010,1800,20
O03217,2014,2,9,pre_covid,P012,Festive Sarees,Fashion,1470,C019,6000,16
O03727,2014,2,9,pre_covid,P009,Yoga Mat,Gym Equipment,841,C006,1500,4
O04254,2014,2,9,pre_covid,P014,Packaged Grocery Staples,Groceries & Hygiene,2216,C002,800,6
O05139,2014,2,9,pre_covid,P002,Webcam & Headset Combo,Electronics,399,C009,4500,4
O06098,2014,2,9,pre_covid,P012,Festive Sarees,Fashion,1277,C006,6000,10
O02495,2014,2,10,pre_covid,P010,Men's Formal Shirts,Fashion,1999,C012,1800,6
O07436,2014,2,10,pre_covid,P004,Air Purifier,Home & Kitchen,266,C002,12000,3
O00229,2014,2,11,pre_covid,P012,Festive Sarees,Fashion,1783,C014,6000,6
O04218,2014,2,11,pre_covid,P010,Men's Formal Shirts,Fashion,1170,C018,1800,20
O04348,2014,2,11,pre_covid,P015,Drawing Tablet (EdTech),Stationery & EdTech,26,C012,7500,6
O06158,2014,2,11,pre_covid,P010,Men's Formal Shirts,Fashion,1912,C002,1800,6
O00559,2014,2,12,pre_covid,P014,Packaged Grocery Staples,Groceries & Hygiene,3066,C007,800,6
O02177,2014,2,12,pre_covid,P009,Yoga Mat,Gym Equipment,305,C003,1500,5
O03983,2014,2,12,pre_covid,P007,Treadmill,Gym Equipment,29,C004,42000,3
O06490,2014,2,12,pre_covid,P009,Yoga Mat,Gym Equipment,1025,C013,1500,1
O06714,2014,2,12,pre_covid,P012,Festive Sarees,Fashion,889,C020,6000,18
O03813,2014,2,13,pre_covid,P012,Festive Sarees,Fashion,1224,C017,6000,17
O04736,2014,2,13,pre_covid,P014,Packaged Grocery Staples,Groceries & Hygiene,2513,C020,800,2
O04949,2014,2,13,pre_covid,P005,Microwave Oven,Home & Kitchen,300,C010,9000,4
O05437,2014,2,13,pre_covid,P003,Smartphone,Electronics,390,C016,22000,1
O00527,2014,2,14,pre_covid,P003,Smartphone,Electronics,306,C014,22000,1
O02989,2014,2,14,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,128,C013,3500,6
O03179,2014,2,14,pre_covid,P001,Laptop,Electronics,52,C007,55000,1
O04660,2014,2,14,pre_covid,P007,Treadmill,Gym Equipment,78,C008,42000,1
O07784,2014,2,14,pre_covid,P003,Smartphone,Electronics,266,C005,22000,2
O03490,2014,2,16,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,880,C016,3500,6
O05343,2014,2,16,pre_covid,P009,Yoga Mat,Gym Equipment,714,C011,1500,6
O00081,2014,2,17,pre_covid,P015,Drawing Tablet (EdTech),Stationery & EdTech,237,C006,7500,5
O02456,2014,2,17,pre_covid,P012,Festive Sarees,Fashion,543,C009,6000,18
O03956,2014,2,17,pre_covid,P009,Yoga Mat,Gym Equipment,593,C020,1500,3
O04932,2014,2,17,pre_covid,P001,Laptop,Electronics,69,C019,55000,1
O05391,2014,2,18,pre_covid,P013,Hand Sanitizer (Bulk Pack),Groceries & Hygiene,225,C005,1200,3
O04446,2014,2,19,pre_covid,P007,Treadmill,Gym Equipment,46,C020,42000,3
O02075,2014,2,20,pre_covid,P009,Yoga Mat,Gym Equipment,412,C017,1500,3
O02548,2014,2,20,pre_covid,P014,Packaged Grocery Staples,Groceries & Hygiene,2918,C013,800,5
O02813,2014,2,20,pre_covid,P015,Drawing Tablet (EdTech),Stationery & EdTech,38,C012,7500,5
O06716,2014,2,20,pre_covid,P010,Men's Formal Shirts,Fashion,1524,C014,1800,13
O01922,2014,2,21,pre_covid,P002,Webcam & Headset Combo,Electronics,537,C011,4500,2
O04396,2014,2,21,pre_covid,P015,Drawing Tablet (EdTech),Stationery & EdTech,277,C007,7500,1
O05970,2014,2,22,pre_covid,P010,Men's Formal Shirts,Fashion,157,C001,1800,10
O04843,2014,2,25,pre_covid,P005,Microwave Oven,Home & Kitchen,58,C001,9000,1
O01266,2014,2,26,pre_covid,P013,Hand Sanitizer (Bulk Pack),Groceries & Hygiene,399,C011,1200,5
O07152,2014,2,27,pre_covid,P003,Smartphone,Electronics,19,C018,22000,2
O07819,2014,2,27,pre_covid,P013,Hand Sanitizer (Bulk Pack),Groceries & Hygiene,1579,C013,1200,2
O02311,2014,2,28,pre_covid,P004,Air Purifier,Home & Kitchen,294,C013,12000,6
O03697,2014,2,28,pre_covid,P010,Men's Formal Shirts,Fashion,1405,C008,1800,10
O05003,2014,2,28,pre_covid,P010,Men's Formal Shirts,Fashion,718,C018,1800,20
O05085,2014,3,1,pre_covid,P001,Laptop,Electronics,42,C007,55000,1
O06156,2014,3,1,pre_covid,P005,Microwave Oven,Home & Kitchen,124,C008,9000,6
O00116,2014,3,2,pre_covid,P015,Drawing Tablet (EdTech),Stationery & EdTech,229,C019,7500,3
O00894,2014,3,2,pre_covid,P007,Treadmill,Gym Equipment,43,C011,42000,2
O01275,2014,3,2,pre_covid,P009,Yoga Mat,Gym Equipment,1310,C005,1500,2
O00535,2014,3,3,pre_covid,P010,Men's Formal Shirts,Fashion,3049,C008,1800,16
O01785,2014,3,4,pre_covid,P009,Yoga Mat,Gym Equipment,871,C005,1500,2
O01897,2014,3,4,pre_covid,P003,Smartphone,Electronics,392,C014,22000,1
O03782,2014,3,4,pre_covid,P012,Festive Sarees,Fashion,1253,C010,6000,20
O05660,2014,3,4,pre_covid,P005,Microwave Oven,Home & Kitchen,54,C016,9000,6
O06628,2014,3,4,pre_covid,P012,Festive Sarees,Fashion,905,C018,6000,12
O00258,2014,3,5,pre_covid,P005,Microwave Oven,Home & Kitchen,138,C010,9000,3
O04333,2014,3,5,pre_covid,P002,Webcam & Headset Combo,Electronics,80,C017,4500,2
O07486,2014,3,5,pre_covid,P004,Air Purifier,Home & Kitchen,262,C015,12000,3
O00738,2014,3,6,pre_covid,P004,Air Purifier,Home & Kitchen,87,C003,12000,4
O01295,2014,3,6,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,165,C018,8500,6
O06577,2014,3,6,pre_covid,P015,Drawing Tablet (EdTech),Stationery & EdTech,80,C010,7500,6
O01610,2014,3,7,pre_covid,P012,Festive Sarees,Fashion,1062,C006,6000,9
O02556,2014,3,7,pre_covid,P015,Drawing Tablet (EdTech),Stationery & EdTech,264,C009,7500,5
O02752,2014,3,7,pre_covid,P012,Festive Sarees,Fashion,376,C012,6000,6
O04751,2014,3,7,pre_covid,P011,Casual Loungewear Set,Fashion,1694,C010,1200,3
O07526,2014,3,7,pre_covid,P005,Microwave Oven,Home & Kitchen,216,C010,9000,2
O00450,2014,3,8,pre_covid,P001,Laptop,Electronics,81,C002,55000,3
O00486,2014,3,8,pre_covid,P002,Webcam & Headset Combo,Electronics,263,C003,4500,3
O05968,2014,3,8,pre_covid,P005,Microwave Oven,Home & Kitchen,170,C013,9000,1
O07601,2014,3,8,pre_covid,P011,Casual Loungewear Set,Fashion,390,C016,1200,1
O01339,2014,3,9,pre_covid,P005,Microwave Oven,Home & Kitchen,338,C003,9000,2
O06784,2014,3,10,pre_covid,P010,Men's Formal Shirts,Fashion,1427,C016,1800,9
O02689,2014,3,11,pre_covid,P002,Webcam & Headset Combo,Electronics,385,C002,4500,2
O00556,2014,3,12,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,12,C015,8500,6
O01513,2014,3,12,pre_covid,P012,Festive Sarees,Fashion,1123,C001,6000,17
O05671,2014,3,12,pre_covid,P010,Men's Formal Shirts,Fashion,353,C009,1800,13
O01332,2014,3,13,pre_covid,P011,Casual Loungewear Set,Fashion,2849,C012,1200,5
O05825,2014,3,13,pre_covid,P003,Smartphone,Electronics,347,C019,22000,3
O02199,2014,3,14,pre_covid,P011,Casual Loungewear Set,Fashion,3041,C010,1200,4
O02717,2014,3,14,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,56,C009,8500,5
O06120,2014,3,14,pre_covid,P011,Casual Loungewear Set,Fashion,1063,C019,1200,1
O00390,2014,3,15,pre_covid,P002,Webcam & Headset Combo,Electronics,378,C012,4500,2
O02264,2014,3,15,pre_covid,P009,Yoga Mat,Gym Equipment,174,C006,1500,5
O03602,2014,3,15,pre_covid,P007,Treadmill,Gym Equipment,11,C008,42000,2
O06949,2014,3,15,pre_covid,P004,Air Purifier,Home & Kitchen,78,C020,12000,1
O07012,2014,3,15,pre_covid,P012,Festive Sarees,Fashion,709,C002,6000,20
O00002,2014,3,16,pre_covid,P004,Air Purifier,Home & Kitchen,232,C010,12000,6
O01680,2014,3,16,pre_covid,P013,Hand Sanitizer (Bulk Pack),Groceries & Hygiene,1994,C002,1200,2
O02979,2014,3,16,pre_covid,P012,Festive Sarees,Fashion,232,C012,6000,17
O00819,2014,3,17,pre_covid,P015,Drawing Tablet (EdTech),Stationery & EdTech,300,C002,7500,5
O02183,2014,3,17,pre_covid,P001,Laptop,Electronics,143,C019,55000,3
O04088,2014,3,17,pre_covid,P009,Yoga Mat,Gym Equipment,494,C018,1500,2
O06487,2014,3,18,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,167,C012,8500,2
O03433,2014,3,19,pre_covid,P005,Microwave Oven,Home & Kitchen,62,C005,9000,2
O00942,2014,3,20,pre_covid,P010,Men's Formal Shirts,Fashion,2805,C020,1800,10
O04180,2014,3,20,pre_covid,P011,Casual Loungewear Set,Fashion,1972,C005,1200,5
O06093,2014,3,20,pre_covid,P012,Festive Sarees,Fashion,1293,C006,6000,10
O02151,2014,3,21,pre_covid,P010,Men's Formal Shirts,Fashion,2177,C020,1800,15
O02251,2014,3,21,pre_covid,P003,Smartphone,Electronics,368,C001,22000,2
O02691,2014,3,21,pre_covid,P011,Casual Loungewear Set,Fashion,2883,C004,1200,5
O00376,2014,3,22,pre_covid,P010,Men's Formal Shirts,Fashion,2887,C020,1800,11
O03966,2014,3,22,pre_covid,P001,Laptop,Electronics,143,C004,55000,3
O04748,2014,3,22,pre_covid,P012,Festive Sarees,Fashion,715,C019,6000,10
O04759,2014,3,22,pre_covid,P005,Microwave Oven,Home & Kitchen,162,C013,9000,3
O04029,2014,3,24,pre_covid,P009,Yoga Mat,Gym Equipment,547,C004,1500,5
O00865,2014,3,25,pre_covid,P005,Microwave Oven,Home & Kitchen,291,C007,9000,4
O01016,2014,3,25,pre_covid,P012,Festive Sarees,Fashion,1405,C003,6000,7
O00188,2014,3,26,pre_covid,P015,Drawing Tablet (EdTech),Stationery & EdTech,130,C008,7500,6
O04752,2014,3,26,pre_covid,P002,Webcam & Headset Combo,Electronics,235,C007,4500,6
O05576,2014,3,26,pre_covid,P004,Air Purifier,Home & Kitchen,69,C014,12000,6
O05991,2014,3,26,pre_covid,P014,Packaged Grocery Staples,Groceries & Hygiene,1991,C003,800,6
O02131,2014,3,27,pre_covid,P014,Packaged Grocery Staples,Groceries & Hygiene,3063,C005,800,5
O06169,2014,3,28,pre_covid,P005,Microwave Oven,Home & Kitchen,72,C008,9000,4
O00083,2014,3,29,pre_covid,P013,Hand Sanitizer (Bulk Pack),Groceries & Hygiene,1314,C004,1200,2
O00174,2014,3,29,pre_covid,P012,Festive Sarees,Fashion,1818,C017,6000,15
O02241,2014,3,29,pre_covid,P004,Air Purifier,Home & Kitchen,297,C004,12000,2
O06046,2014,3,29,pre_covid,P013,Hand Sanitizer (Bulk Pack),Groceries & Hygiene,1393,C006,1200,1
O02231,2014,3,30,pre_covid,P010,Men's Formal Shirts,Fashion,2134,C009,1800,16
O05451,2014,3,30,pre_covid,P012,Festive Sarees,Fashion,307,C002,6000,16
O02526,2014,3,31,pre_covid,P002,Webcam & Headset Combo,Electronics,526,C003,4500,6
O00392,2014,4,1,pre_covid,P014,Packaged Grocery Staples,Groceries & Hygiene,3116,C015,800,5
O00679,2014,4,1,pre_covid,P010,Men's Formal Shirts,Fashion,2988,C014,1800,2
O02712,2014,4,1,pre_covid,P009,Yoga Mat,Gym Equipment,1375,C017,1500,4
O04042,2014,4,2,pre_covid,P002,Webcam & Headset Combo,Electronics,397,C015,4500,1
O02451,2014,4,3,pre_covid,P003,Smartphone,Electronics,327,C015,22000,2
O02544,2014,4,3,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,573,C013,3500,5
O07574,2014,4,3,pre_covid,P009,Yoga Mat,Gym Equipment,1484,C014,1500,2
O00032,2014,4,4,pre_covid,P010,Men's Formal Shirts,Fashion,1872,C017,1800,5
O00111,2014,4,4,pre_covid,P012,Festive Sarees,Fashion,1634,C008,6000,2
O06881,2014,4,4,pre_covid,P012,Festive Sarees,Fashion,761,C019,6000,6
O01235,2014,4,5,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,343,C003,3500,1
O05765,2014,4,5,pre_covid,P014,Packaged Grocery Staples,Groceries & Hygiene,2069,C012,800,4
O06060,2014,4,5,pre_covid,P012,Festive Sarees,Fashion,1304,C007,6000,6
O00183,2014,4,6,pre_covid,P012,Festive Sarees,Fashion,1796,C009,6000,4
O02513,2014,4,6,pre_covid,P013,Hand Sanitizer (Bulk Pack),Groceries & Hygiene,1077,C003,1200,2
O04487,2014,4,6,pre_covid,P012,Festive Sarees,Fashion,914,C015,6000,3
O06597,2014,4,6,pre_covid,P010,Men's Formal Shirts,Fashion,1586,C016,1800,5
O03075,2014,4,7,pre_covid,P005,Microwave Oven,Home & Kitchen,269,C015,9000,2
O05749,2014,4,7,pre_covid,P005,Microwave Oven,Home & Kitchen,300,C013,9000,2
O05918,2014,4,7,pre_covid,P004,Air Purifier,Home & Kitchen,294,C018,12000,6
O03047,2014,4,8,pre_covid,P009,Yoga Mat,Gym Equipment,1171,C011,1500,5
O03511,2014,4,8,pre_covid,P004,Air Purifier,Home & Kitchen,268,C007,12000,4
O06236,2014,4,8,pre_covid,P004,Air Purifier,Home & Kitchen,239,C013,12000,5
O01330,2014,4,9,pre_covid,P010,Men's Formal Shirts,Fashion,2661,C016,1800,5
O02707,2014,4,9,pre_covid,P010,Men's Formal Shirts,Fashion,1859,C011,1800,1
O04380,2014,4,9,pre_covid,P007,Treadmill,Gym Equipment,59,C007,42000,3
O07164,2014,4,9,pre_covid,P011,Casual Loungewear Set,Fashion,580,C001,1200,6
O04072,2014,4,10,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,46,C011,8500,4
O05072,2014,4,10,pre_covid,P005,Microwave Oven,Home & Kitchen,217,C016,9000,2
O02985,2014,4,11,pre_covid,P007,Treadmill,Gym Equipment,11,C006,42000,1
O04183,2014,4,11,pre_covid,P009,Yoga Mat,Gym Equipment,288,C014,1500,5
O07086,2014,4,11,pre_covid,P009,Yoga Mat,Gym Equipment,471,C014,1500,3
O00884,2014,4,12,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,645,C010,3500,3
O07723,2014,4,12,pre_covid,P004,Air Purifier,Home & Kitchen,248,C019,12000,6
O02878,2014,4,13,pre_covid,P014,Packaged Grocery Staples,Groceries & Hygiene,2782,C016,800,2
O00766,2014,4,14,pre_covid,P001,Laptop,Electronics,113,C018,55000,3
O02156,2014,4,14,pre_covid,P012,Festive Sarees,Fashion,692,C008,6000,5
O03946,2014,4,14,pre_covid,P012,Festive Sarees,Fashion,1152,C006,6000,3
O05515,2014,4,14,pre_covid,P004,Air Purifier,Home & Kitchen,100,C012,12000,5
O06390,2014,4,14,pre_covid,P005,Microwave Oven,Home & Kitchen,185,C016,9000,2
O00295,2014,4,15,pre_covid,P010,Men's Formal Shirts,Fashion,2904,C017,1800,6
O02767,2014,4,15,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,356,C012,3500,1
O02881,2014,4,15,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,148,C006,8500,6
O03031,2014,4,15,pre_covid,P012,Festive Sarees,Fashion,160,C006,6000,2
O05442,2014,4,16,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,63,C014,8500,4
O01028,2014,4,18,pre_covid,P007,Treadmill,Gym Equipment,3,C001,42000,3
O03228,2014,4,18,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,128,C003,8500,3
O00133,2014,4,19,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,1130,C005,3500,2
O05338,2014,4,19,pre_covid,P012,Festive Sarees,Fashion,379,C010,6000,2
O01458,2014,4,20,pre_covid,P014,Packaged Grocery Staples,Groceries & Hygiene,2646,C003,800,5
O02394,2014,4,20,pre_covid,P001,Laptop,Electronics,61,C012,55000,1
O06759,2014,4,20,pre_covid,P009,Yoga Mat,Gym Equipment,779,C013,1500,3
O05489,2014,4,21,pre_covid,P001,Laptop,Electronics,33,C001,55000,2
O02531,2014,4,22,pre_covid,P001,Laptop,Electronics,17,C001,55000,2
O02836,2014,4,22,pre_covid,P010,Men's Formal Shirts,Fashion,1812,C020,1800,2
O04045,2014,4,22,pre_covid,P003,Smartphone,Electronics,380,C018,22000,3
O04959,2014,4,22,pre_covid,P012,Festive Sarees,Fashion,605,C018,6000,3
O05222,2014,4,22,pre_covid,P009,Yoga Mat,Gym Equipment,835,C015,1500,5
O06787,2014,4,22,pre_covid,P011,Casual Loungewear Set,Fashion,876,C004,1200,1
O07437,2014,4,22,pre_covid,P012,Festive Sarees,Fashion,429,C020,6000,1
O05021,2014,4,23,pre_covid,P012,Festive Sarees,Fashion,576,C015,6000,1
O05279,2014,4,23,pre_covid,P010,Men's Formal Shirts,Fashion,540,C009,1800,2
O06361,2014,4,23,pre_covid,P013,Hand Sanitizer (Bulk Pack),Groceries & Hygiene,1066,C001,1200,4
O00765,2014,4,24,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,701,C015,3500,6
O04046,2014,4,24,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,50,C001,8500,4
O06101,2014,4,24,pre_covid,P007,Treadmill,Gym Equipment,21,C003,42000,1
O03337,2014,4,25,pre_covid,P013,Hand Sanitizer (Bulk Pack),Groceries & Hygiene,292,C011,1200,2
O04829,2014,4,25,pre_covid,P013,Hand Sanitizer (Bulk Pack),Groceries & Hygiene,574,C011,1200,1
O00287,2014,4,26,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,15,C018,8500,4
O02583,2014,4,26,pre_covid,P001,Laptop,Electronics,131,C011,55000,3
O07458,2014,4,26,pre_covid,P012,Festive Sarees,Fashion,428,C014,6000,2
O00787,2014,4,27,pre_covid,P007,Treadmill,Gym Equipment,3,C007,42000,3
O07256,2014,4,27,pre_covid,P010,Men's Formal Shirts,Fashion,1229,C009,1800,3
O02283,2014,4,28,pre_covid,P001,Laptop,Electronics,96,C001,55000,3
O04460,2014,4,28,pre_covid,P001,Laptop,Electronics,133,C020,55000,2
O06128,2014,4,28,pre_covid,P014,Packaged Grocery Staples,Groceries & Hygiene,1928,C013,800,6
O06521,2014,4,28,pre_covid,P007,Treadmill,Gym Equipment,68,C014,42000,1
O05617,2014,4,29,pre_covid,P002,Webcam & Headset Combo,Electronics,496,C008,4500,3
O00772,2014,4,30,pre_covid,P012,Festive Sarees,Fashion,1469,C007,6000,2
O03223,2014,4,30,pre_covid,P015,Drawing Tablet (EdTech),Stationery & EdTech,68,C016,7500,3
O03593,2014,4,30,pre_covid,P007,Treadmill,Gym Equipment,14,C014,42000,3
O05775,2014,4,30,pre_covid,P003,Smartphone,Electronics,352,C001,22000,1
