order_id,order_year,order_month,order_day,product_id,product_title,product_category,current_product_stock,client_id,price_inr,quantity_ordered
O4087,2018,9,22,P001,iPhone 15,Electronics,100,C006,89900,1
O5739,2018,9,22,P006,Festive Sarees,Fashion,303,C008,6000,4
O1403,2018,9,23,P009,Yoga Mats,Gym Products,4577,C006,1500,4
O1433,2018,9,23,P003,Bluetooth Speakers,Electronics,507,C010,9500,4
O2231,2018,9,23,P004,Men's Winter Jacket,Fashion,1465,C001,3500,3
O2743,2018,9,23,P007,Treadmill,Gym Products,8,C003,42000,2
O3822,2018,9,24,P015,School Backpacks,Stationery & School Products,371,C006,800,3
O5151,2018,9,25,P006,Festive Sarees,Fashion,1089,C007,6000,3
O0286,2018,9,26,P004,Men's Winter Jacket,Fashion,2970,C006,3500,2
O2181,2018,9,26,P002,Smart Watch,Electronics,176,C003,15000,4
O2722,2018,9,26,P010,Soft Drink Cases,Groceries & Beverages,236,C009,2200,5
O2393,2018,9,27,P007,Treadmill,Gym Products,44,C001,42000,2
O2602,2018,9,28,P015,School Backpacks,Stationery & School Products,344,C001,800,1
O5025,2018,9,29,P012,Tea & Coffee Packs,Groceries & Beverages,66,C005,400,2
O2157,2018,9,30,P009,Yoga Mats,Gym Products,4088,C002,1500,1
O3181,2018,9,30,P014,Pens & Markers Set,Stationery & School Products,213,C004,300,1
O0652,2018,10,2,P012,Tea & Coffee Packs,Groceries & Beverages,1150,C008,400,1
O2003,2018,10,2,P009,Yoga Mats,Gym Products,4179,C004,1500,3
O2531,2018,10,2,P008,Dumbbell Set,Gym Products,184,C009,2800,4
O5687,2018,10,2,P002,Smart Watch,Electronics,242,C005,15000,23
O5971,2018,10,2,P013,Notebooks (Bundle),Stationery & School Products,890,C003,600,2
O0285,2018,10,4,P001,iPhone 15,Electronics,239,C007,89900,9
O1035,2018,10,4,P011,Packaged Snacks,Groceries & Beverages,1968,C011,500,29
O1162,2018,10,5,P009,Yoga Mats,Gym Products,4736,C002,1500,4
O1797,2018,10,5,P003,Bluetooth Speakers,Electronics,113,C001,9500,10
O3886,2018,10,5,P004,Men's Winter Jacket,Fashion,307,C010,3500,27
O4130,2018,10,5,P015,School Backpacks,Stationery & School Products,228,C008,800,3
O4458,2018,10,5,P006,Festive Sarees,Fashion,1941,C011,6000,19
O0259,2018,10,6,P014,Pens & Markers Set,Stationery & School Products,457,C001,300,2
O1626,2018,10,6,P001,iPhone 15,Electronics,187,C011,89900,3
O5678,2018,10,6,P013,Notebooks (Bundle),Stationery & School Products,1113,C011,600,2
O0363,2018,10,8,P003,Bluetooth Speakers,Electronics,365,C005,9500,20
O0390,2018,10,8,P002,Smart Watch,Electronics,337,C012,15000,10
O1771,2018,10,8,P009,Yoga Mats,Gym Products,4287,C002,1500,2
O4249,2018,10,8,P010,Soft Drink Cases,Groceries & Beverages,358,C011,2200,3
O4564,2018,10,8,P012,Tea & Coffee Packs,Groceries & Beverages,569,C011,400,2
O3339,2018,10,9,P006,Festive Sarees,Fashion,968,C012,6000,21
O5062,2018,10,9,P002,Smart Watch,Electronics,130,C004,15000,11
O0900,2018,10,10,P005,Summer Cotton T-Shirts,Fashion,5150,C002,1500,1
O1542,2018,10,10,P014,Pens & Markers Set,Stationery & School Products,499,C012,300,5
O2255,2018,10,10,P006,Festive Sarees,Fashion,2347,C012,6000,23
O3305,2018,10,10,P002,Smart Watch,Electronics,276,C009,15000,20
O5628,2018,10,10,P001,iPhone 15,Electronics,83,C005,89900,7
O1115,2018,10,11,P002,Smart Watch,Electronics,290,C001,15000,21
O3751,2018,10,11,P001,iPhone 15,Electronics,173,C009,89900,3
O5599,2018,10,12,P004,Men's Winter Jacket,Fashion,1039,C008,3500,29
O2545,2018,10,13,P005,Summer Cotton T-Shirts,Fashion,3239,C008,1500,4
O0008,2018,10,14,P004,Men's Winter Jacket,Fashion,1800,C011,3500,21
O3232,2018,10,14,P006,Festive Sarees,Fashion,1160,C009,6000,25
O2620,2018,10,15,P010,Soft Drink Cases,Groceries & Beverages,318,C010,2200,1
O3407,2018,10,15,P001,iPhone 15,Electronics,44,C003,89900,5
O4870,2018,10,15,P002,Smart Watch,Electronics,276,C010,15000,14
O5004,2018,10,15,P006,Festive Sarees,Fashion,1182,C011,6000,20
O5085,2018,10,16,P002,Smart Watch,Electronics,117,C006,15000,29
O3361,2018,10,17,P003,Bluetooth Speakers,Electronics,301,C004,9500,10
O4729,2018,10,17,P006,Festive Sarees,Fashion,1599,C005,6000,17
O2378,2018,10,18,P005,Summer Cotton T-Shirts,Fashion,3480,C008,1500,1
O0329,2018,10,19,P011,Packaged Snacks,Groceries & Beverages,2467,C011,500,13
O1779,2018,10,19,P005,Summer Cotton T-Shirts,Fashion,4130,C003,1500,4
O4411,2018,10,19,P004,Men's Winter Jacket,Fashion,1828,C012,3500,19
O5057,2018,10,19,P001,iPhone 15,Electronics,177,C002,89900,9
O5087,2018,10,19,P012,Tea & Coffee Packs,Groceries & Beverages,999,C003,400,3
O0901,2018,10,21,P012,Tea & Coffee Packs,Groceries & Beverages,934,C001,400,5
O4451,2018,10,21,P003,Bluetooth Speakers,Electronics,505,C011,9500,10
O0176,2018,10,22,P011,Packaged Snacks,Groceries & Beverages,2177,C005,500,19
O4015,2018,10,22,P012,Tea & Coffee Packs,Groceries & Beverages,151,C006,400,4
O4420,2018,10,22,P008,Dumbbell Set,Gym Products,140,C003,2800,3
O0695,2018,10,23,P003,Bluetooth Speakers,Electronics,143,C011,9500,13
O1910,2018,10,23,P004,Men's Winter Jacket,Fashion,1756,C010,3500,26
O4482,2018,10,24,P005,Summer Cotton T-Shirts,Fashion,1551,C004,1500,5
O0816,2018,10,25,P006,Festive Sarees,Fashion,1410,C008,6000,15
O5716,2018,10,25,P004,Men's Winter Jacket,Fashion,970,C004,3500,14
O1569,2018,10,27,P002,Smart Watch,Electronics,424,C007,15000,10
O4581,2018,10,27,P006,Festive Sarees,Fashion,1779,C002,6000,27
O5890,2018,10,27,P004,Men's Winter Jacket,Fashion,854,C006,3500,12
O2809,2018,10,28,P007,Treadmill,Gym Products,48,C009,42000,1
O3367,2018,10,28,P006,Festive Sarees,Fashion,930,C007,6000,10
O3708,2018,10,29,P002,Smart Watch,Electronics,83,C009,15000,21
O0261,2018,10,30,P013,Notebooks (Bundle),Stationery & School Products,1301,C002,600,5
O0548,2018,10,30,P003,Bluetooth Speakers,Electronics,230,C002,9500,11
O0668,2018,10,30,P006,Festive Sarees,Fashion,1615,C008,6000,11
O1275,2018,10,30,P003,Bluetooth Speakers,Electronics,159,C010,9500,13
O4976,2018,10,30,P014,Pens & Markers Set,Stationery & School Products,449,C011,300,1
O0122,2018,10,31,P008,Dumbbell Set,Gym Products,1065,C008,2800,4
O0253,2018,10,31,P007,Treadmill,Gym Products,23,C001,42000,1
O2166,2018,10,31,P004,Men's Winter Jacket,Fashion,1553,C001,3500,24
O2983,2018,10,31,P006,Festive Sarees,Fashion,1573,C007,6000,24
O0387,2018,11,1,P011,Packaged Snacks,Groceries & Beverages,2429,C012,500,19
O0736,2018,11,1,P011,Packaged Snacks,Groceries & Beverages,2160,C009,500,23
O0845,2018,11,1,P001,iPhone 15,Electronics,160,C002,89900,3
O4211,2018,11,1,P006,Festive Sarees,Fashion,2276,C008,6000,23
O5940,2018,11,1,P006,Festive Sarees,Fashion,106,C012,6000,29
O0055,2018,11,2,P004,Men's Winter Jacket,Fashion,2769,C009,3500,29
O1862,2018,11,2,P008,Dumbbell Set,Gym Products,487,C007,2800,5
O3286,2018,11,2,P001,iPhone 15,Electronics,65,C010,89900,8
O1535,2018,11,5,P011,Packaged Snacks,Groceries & Beverages,1735,C012,500,23
O4761,2018,11,5,P008,Dumbbell Set,Gym Products,960,C003,2800,1
O0671,2018,11,6,P004,Men's Winter Jacket,Fashion,2725,C010,3500,19
O1008,2018,11,6,P004,Men's Winter Jacket,Fashion,2453,C010,3500,23
O3012,2018,11,6,P015,School Backpacks,Stationery & School Products,108,C004,800,4
O1110,2018,11,7,P003,Bluetooth Speakers,Electronics,304,C005,9500,12
O4521,2018,11,7,P006,Festive Sarees,Fashion,1826,C008,6000,15
O5734,2018,11,8,P001,iPhone 15,Electronics,54,C011,89900,5
O3272,2018,11,9,P011,Packaged Snacks,Groceries & Beverages,769,C010,500,17
O1186,2018,11,10,P003,Bluetooth Speakers,Electronics,284,C012,9500,28
O1782,2018,11,10,P004,Men's Winter Jacket,Fashion,1840,C006,3500,19
O2092,2018,11,10,P011,Packaged Snacks,Groceries & Beverages,1424,C011,500,18
O2686,2018,11,10,P011,Packaged Snacks,Groceries & Beverages,1215,C006,500,30
O4350,2018,11,10,P009,Yoga Mats,Gym Products,3223,C008,1500,2
O4902,2018,11,10,P010,Soft Drink Cases,Groceries & Beverages,1323,C007,2200,4
O4515,2018,11,11,P006,Festive Sarees,Fashion,1845,C008,6000,19
O5538,2018,11,11,P008,Dumbbell Set,Gym Products,490,C007,2800,2
O3660,2018,11,12,P011,Packaged Snacks,Groceries & Beverages,564,C009,500,26
O5530,2018,11,12,P006,Festive Sarees,Fashion,608,C006,6000,11
O2409,2018,11,13,P012,Tea & Coffee Packs,Groceries & Beverages,613,C002,400,25
O5017,2018,11,13,P005,Summer Cotton T-Shirts,Fashion,961,C002,1500,5
O5130,2018,11,13,P005,Summer Cotton T-Shirts,Fashion,839,C012,1500,1
O5264,2018,11,13,P012,Tea & Coffee Packs,Groceries & Beverages,848,C007,400,29
O5579,2018,11,13,P004,Men's Winter Jacket,Fashion,1067,C004,3500,28
O1467,2018,11,14,P005,Summer Cotton T-Shirts,Fashion,4422,C012,1500,3
O1547,2018,11,14,P009,Yoga Mats,Gym Products,4436,C008,1500,5
O2806,2018,11,14,P001,iPhone 15,Electronics,149,C010,89900,5
O3898,2018,11,14,P004,Men's Winter Jacket,Fashion,251,C001,3500,28
O1654,2018,11,15,P002,Smart Watch,Electronics,414,C007,15000,23
O1936,2018,11,16,P004,Men's Winter Jacket,Fashion,1730,C005,3500,24
O5156,2018,11,16,P008,Dumbbell Set,Gym Products,734,C011,2800,1
O0063,2018,11,17,P004,Men's Winter Jacket,Fashion,2740,C009,3500,11
O1371,2018,11,17,P010,Soft Drink Cases,Groceries & Beverages,1380,C007,2200,5
O2152,2018,11,17,P005,Summer Cotton T-Shirts,Fashion,3701,C001,1500,1
O5733,2018,11,17,P006,Festive Sarees,Fashion,317,C007,6000,14
O0113,2018,11,18,P007,Treadmill,Gym Products,39,C010,42000,2
O1772,2018,11,18,P011,Packaged Snacks,Groceries & Beverages,1652,C011,500,15
O3729,2018,11,18,P001,iPhone 15,Electronics,179,C004,89900,6
O0946,2018,11,19,P006,Festive Sarees,Fashion,1211,C007,6000,17
O5356,2018,11,19,P006,Festive Sarees,Fashion,821,C008,6000,20
O2830,2018,11,22,P006,Festive Sarees,Fashion,1673,C009,6000,21
O2927,2018,11,22,P002,Smart Watch,Electronics,42,C008,15000,28
O3131,2018,11,22,P002,Smart Watch,Electronics,339,C010,15000,15
O5230,2018,11,22,P002,Smart Watch,Electronics,497,C007,15000,24
O5494,2018,11,22,P011,Packaged Snacks,Groceries & Beverages,705,C011,500,21
O5609,2018,11,22,P001,iPhone 15,Electronics,89,C006,89900,3
O2574,2018,11,23,P002,Smart Watch,Electronics,413,C002,15000,28
O2654,2018,11,23,P010,Soft Drink Cases,Groceries & Beverages,266,C011,2200,1
O0249,2018,11,24,P006,Festive Sarees,Fashion,2124,C006,6000,25
O1285,2018,11,24,P009,Yoga Mats,Gym Products,4656,C012,1500,1
O1887,2018,11,24,P009,Yoga Mats,Gym Products,4218,C008,1500,2
O2354,2018,11,24,P001,iPhone 15,Electronics,51,C006,89900,6
O2844,2018,11,24,P013,Notebooks (Bundle),Stationery & School Products,706,C006,600,5
O3006,2018,11,24,P001,iPhone 15,Electronics,142,C004,89900,9
O3705,2018,11,24,P012,Tea & Coffee Packs,Groceries & Beverages,488,C009,400,19
O1258,2018,11,25,P003,Bluetooth Speakers,Electronics,189,C007,9500,30
O4449,2018,11,25,P003,Bluetooth Speakers,Electronics,520,C007,9500,15
O1281,2018,11,26,P002,Smart Watch,Electronics,159,C001,15000,14
O3465,2018,11,26,P013,Notebooks (Bundle),Stationery & School Products,259,C008,600,5
O1392,2018,11,27,P012,Tea & Coffee Packs,Groceries & Beverages,401,C005,400,22
O3235,2018,11,27,P002,Smart Watch,Electronics,300,C010,15000,22
O0536,2018,11,29,P007,Treadmill,Gym Products,17,C012,42000,2
O1354,2018,11,29,P010,Soft Drink Cases,Groceries & Beverages,1381,C007,2200,1
O2906,2018,11,29,P003,Bluetooth Speakers,Electronics,108,C005,9500,14
O3677,2018,11,29,P007,Treadmill,Gym Products,40,C005,42000,2
O5188,2018,11,29,P004,Men's Winter Jacket,Fashion,1406,C003,3500,27
O2584,2018,11,30,P001,iPhone 15,Electronics,188,C011,89900,9
O5845,2018,11,30,P003,Bluetooth Speakers,Electronics,386,C008,9500,22
O5054,2018,12,2,P011,Packaged Snacks,Groceries & Beverages,870,C011,500,15
O2040,2018,12,3,P011,Packaged Snacks,Groceries & Beverages,1446,C005,500,21
O5918,2018,12,3,P001,iPhone 15,Electronics,200,C002,89900,3
O3788,2018,12,4,P004,Men's Winter Jacket,Fashion,443,C003,3500,20
O1240,2018,12,5,P008,Dumbbell Set,Gym Products,868,C008,2800,1
O1610,2018,12,5,P004,Men's Winter Jacket,Fashion,2030,C010,3500,29
O0395,2018,12,6,P012,Tea & Coffee Packs,Groceries & Beverages,1248,C003,400,16
O3620,2018,12,6,P004,Men's Winter Jacket,Fashion,633,C010,3500,29
O5391,2018,12,6,P001,iPhone 15,Electronics,122,C001,89900,6
O1213,2018,12,7,P006,Festive Sarees,Fashion,828,C006,6000,20
O1767,2018,12,7,P015,School Backpacks,Stationery & School Products,210,C005,800,4
O2098,2018,12,7,P003,Bluetooth Speakers,Electronics,370,C006,9500,28
O4826,2018,12,7,P004,Men's Winter Jacket,Fashion,1614,C011,3500,26
O2209,2018,12,8,P011,Packaged Snacks,Groceries & Beverages,1388,C011,500,14
O3350,2018,12,8,P012,Tea & Coffee Packs,Groceries & Beverages,998,C010,400,10
O4549,2018,12,8,P012,Tea & Coffee Packs,Groceries & Beverages,604,C002,400,22
O0429,2018,12,9,P007,Treadmill,Gym Products,44,C004,42000,2
O0649,2018,12,9,P005,Summer Cotton T-Shirts,Fashion,5386,C007,1500,1
O3016,2018,12,10,P001,iPhone 15,Electronics,128,C007,89900,6
O1331,2018,12,11,P014,Pens & Markers Set,Stationery & School Products,119,C006,300,5
O1191,2018,12,12,P001,iPhone 15,Electronics,81,C003,89900,9
O1497,2018,12,12,P009,Yoga Mats,Gym Products,4511,C002,1500,4
O1762,2018,12,12,P003,Bluetooth Speakers,Electronics,133,C005,9500,10
O1847,2018,12,12,P012,Tea & Coffee Packs,Groceries & Beverages,995,C008,400,16
O0879,2018,12,13,P002,Smart Watch,Electronics,496,C001,15000,26
O4010,2018,12,13,P004,Men's Winter Jacket,Fashion,118,C002,3500,14
O5968,2018,12,13,P015,School Backpacks,Stationery & School Products,325,C007,800,1
O2107,2018,12,14,P004,Men's Winter Jacket,Fashion,1586,C011,3500,29
O2200,2018,12,14,P002,Smart Watch,Electronics,131,C003,15000,15
O2501,2018,12,14,P004,Men's Winter Jacket,Fashion,1286,C002,3500,14
O2881,2018,12,15,P011,Packaged Snacks,Groceries & Beverages,1056,C012,500,28
O1488,2018,12,16,P004,Men's Winter Jacket,Fashion,2135,C002,3500,23
O3487,2018,12,16,P009,Yoga Mats,Gym Products,3869,C010,1500,4
O4115,2018,12,16,P011,Packaged Snacks,Groceries & Beverages,285,C002,500,18
O5509,2018,12,16,P002,Smart Watch,Electronics,310,C007,15000,25
O1277,2018,12,17,P012,Tea & Coffee Packs,Groceries & Beverages,579,C011,400,20
O2395,2018,12,17,P015,School Backpacks,Stationery & School Products,140,C009,800,3
O3667,2018,12,17,P004,Men's Winter Jacket,Fashion,578,C011,3500,11
O4400,2018,12,17,P003,Bluetooth Speakers,Electronics,45,C003,9500,17
O0745,2018,12,18,P004,Men's Winter Jacket,Fashion,2612,C001,3500,22
O2998,2018,12,18,P007,Treadmill,Gym Products,26,C007,42000,1
O3797,2018,12,18,P011,Packaged Snacks,Groceries & Beverages,521,C005,500,30
O0730,2018,12,19,P003,Bluetooth Speakers,Electronics,81,C002,9500,13
O1168,2018,12,19,P010,Soft Drink Cases,Groceries & Beverages,1502,C008,2200,3
O5920,2018,12,19,P005,Summer Cotton T-Shirts,Fashion,2381,C005,1500,1
O2782,2018,12,20,P006,Festive Sarees,Fashion,1781,C007,6000,22
O1877,2018,12,21,P009,Yoga Mats,Gym Products,4222,C005,1500,1
O1963,2018,12,21,P002,Smart Watch,Electronics,275,C003,15000,30
O5625,2018,12,21,P004,Men's Winter Jacket,Fashion,1010,C009,3500,29
O2374,2018,12,22,P005,Summer Cotton T-Shirts,Fashion,3505,C009,1500,5
O4484,2018,12,22,P003,Bluetooth Speakers,Electronics,495,C010,9500,15
O2767,2018,12,23,P012,Tea & Coffee Packs,Groceries & Beverages,406,C002,400,27
O5192,2018,12,23,P004,Men's Winter Jacket,Fashion,1379,C003,3500,27
O5367,2018,12,23,P006,Festive Sarees,Fashion,801,C006,6000,24
O0366,2018,12,24,P004,Men's Winter Jacket,Fashion,2911,C002,3500,19
O1679,2018,12,24,P012,Tea & Coffee Packs,Groceries & Beverages,167,C006,400,24
O5010,2018,12,24,P002,Smart Watch,Electronics,190,C002,15000,29
O0997,2018,12,25,P006,Festive Sarees,Fashion,1157,C001,6000,10
O4950,2018,12,25,P002,Smart Watch,Electronics,220,C004,15000,11
O2222,2018,12,26,P003,Bluetooth Speakers,Electronics,266,C002,9500,23
O3745,2018,12,26,P010,Soft Drink Cases,Groceries & Beverages,802,C005,2200,4
O5403,2018,12,26,P004,Men's Winter Jacket,Fashion,1164,C011,3500,23
O3884,2018,12,27,P008,Dumbbell Set,Gym Products,398,C006,2800,4
O2386,2018,12,28,P006,Festive Sarees,Fashion,2237,C010,6000,26
O5039,2018,12,28,P004,Men's Winter Jacket,Fashion,1499,C012,3500,28
O5848,2018,12,28,P008,Dumbbell Set,Gym Products,349,C005,2800,4
O0181,2018,12,29,P005,Summer Cotton T-Shirts,Fashion,4643,C002,1500,4
O2351,2018,12,29,P010,Soft Drink Cases,Groceries & Beverages,604,C011,2200,2
O3807,2018,12,30,P009,Yoga Mats,Gym Products,3683,C011,1500,2
O3168,2018,12,31,P006,Festive Sarees,Fashion,1298,C012,6000,25
O3501,2018,12,31,P010,Soft Drink Cases,Groceries & Beverages,1062,C010,2200,2
O4572,2018,12,31,P002,Smart Watch,Electronics,434,C003,15000,21
O5260,2019,1,1,P012,Tea & Coffee Packs,Groceries & Beverages,875,C004,408,27
O5569,2019,1,1,P009,Yoga Mats,Gym Products,2520,C011,1530,23
O2821,2019,1,2,P004,Men's Winter Jacket,Fashion,1060,C004,3570,4
O4589,2019,1,2,P014,Pens & Markers Set,Stationery & School Products,203,C011,306,1
O4789,2019,1,2,P007,Treadmill,Gym Products,27,C008,42840,6
O2145,2019,1,3,P005,Summer Cotton T-Shirts,Fashion,3703,C010,1530,2
O2357,2019,1,3,P007,Treadmill,Gym Products,48,C009,42840,3
O3695,2019,1,3,P012,Tea & Coffee Packs,Groceries & Beverages,504,C004,408,16
O5090,2019,1,3,P002,Smart Watch,Electronics,88,C002,15300,21
O5837,2019,1,3,P012,Tea & Coffee Packs,Groceries & Beverages,492,C007,408,21
O0210,2019,1,4,P011,Packaged Snacks,Groceries & Beverages,2369,C005,510,5
O1086,2019,1,4,P007,Treadmill,Gym Products,8,C010,42840,5
O4511,2019,1,4,P004,Men's Winter Jacket,Fashion,1783,C006,3570,1
O4351,2019,1,5,P002,Smart Watch,Electronics,85,C009,15300,24
O1014,2019,1,6,P009,Yoga Mats,Gym Products,4840,C009,1530,20
O2070,2019,1,6,P004,Men's Winter Jacket,Fashion,1614,C003,3570,3
O2108,2019,1,6,P012,Tea & Coffee Packs,Groceries & Beverages,820,C005,408,17
O2564,2019,1,6,P001,iPhone 15,Electronics,197,C002,91698,2
O2737,2019,1,6,P002,Smart Watch,Electronics,251,C011,15300,21
O0659,2019,1,7,P007,Treadmill,Gym Products,5,C009,42840,5
O4216,2019,1,7,P008,Dumbbell Set,Gym Products,263,C005,2856,27
O0978,2019,1,8,P009,Yoga Mats,Gym Products,4865,C004,1530,25
O4460,2019,1,9,P012,Tea & Coffee Packs,Groceries & Beverages,732,C002,408,16
O2730,2019,1,10,P009,Yoga Mats,Gym Products,4309,C004,1530,14
O5519,2019,1,10,P008,Dumbbell Set,Gym Products,541,C008,2856,18
O0041,2019,1,11,P005,Summer Cotton T-Shirts,Fashion,3556,C007,1530,4
O0149,2019,1,11,P011,Packaged Snacks,Groceries & Beverages,1934,C009,510,4
O3105,2019,1,11,P010,Soft Drink Cases,Groceries & Beverages,1290,C011,2244,2
O5793,2019,1,12,P007,Treadmill,Gym Products,45,C002,42840,7
O1093,2019,1,14,P012,Tea & Coffee Packs,Groceries & Beverages,769,C009,408,26
O5811,2019,1,14,P015,School Backpacks,Stationery & School Products,108,C008,816,4
O0610,2019,1,15,P003,Bluetooth Speakers,Electronics,185,C003,9690,3
O3095,2019,1,15,P008,Dumbbell Set,Gym Products,835,C006,2856,16
O5749,2019,1,15,P002,Smart Watch,Electronics,185,C011,15300,19
O2755,2019,1,16,P012,Tea & Coffee Packs,Groceries & Beverages,435,C011,408,29
O4143,2019,1,16,P007,Treadmill,Gym Products,31,C005,42840,4
O1537,2019,1,17,P012,Tea & Coffee Packs,Groceries & Beverages,263,C009,408,21
O1653,2019,1,17,P009,Yoga Mats,Gym Products,4371,C002,1530,14
O4788,2019,1,17,P004,Men's Winter Jacket,Fashion,1623,C006,3570,4
O2969,2019,1,18,P001,iPhone 15,Electronics,153,C006,91698,1
O3356,2019,1,18,P001,iPhone 15,Electronics,46,C007,91698,1
O4649,2019,1,18,P009,Yoga Mats,Gym Products,3087,C011,1530,17
O4158,2019,1,20,P008,Dumbbell Set,Gym Products,301,C005,2856,18
O0432,2019,1,21,P008,Dumbbell Set,Gym Products,941,C002,2856,27
O2976,2019,1,21,P014,Pens & Markers Set,Stationery & School Products,404,C009,306,2
O3308,2019,1,21,P009,Yoga Mats,Gym Products,4064,C003,1530,27
O3520,2019,1,21,P009,Yoga Mats,Gym Products,3851,C008,1530,11
O3680,2019,1,22,P012,Tea & Coffee Packs,Groceries & Beverages,544,C001,408,17
O0761,2019,1,23,P012,Tea & Coffee Packs,Groceries & Beverages,1058,C004,408,25
O3688,2019,1,23,P002,Smart Watch,Electronics,124,C003,15300,17
O4235,2019,1,23,P008,Dumbbell Set,Gym Products,236,C010,2856,26
O5157,2019,1,23,P009,Yoga Mats,Gym Products,2833,C003,1530,17
O5364,2019,1,23,P007,Treadmill,Gym Products,32,C004,42840,6
O5649,2019,1,23,P009,Yoga Mats,Gym Products,2421,C004,1530,21
O0175,2019,1,24,P013,Notebooks (Bundle),Stationery & School Products,1335,C009,612,2
O2729,2019,1,24,P008,Dumbbell Set,Gym Products,144,C010,2856,28
O5804,2019,1,24,P005,Summer Cotton T-Shirts,Fashion,2575,C009,1530,5
O3624,2019,1,25,P005,Summer Cotton T-Shirts,Fashion,2526,C005,1530,2
O4993,2019,1,25,P004,Men's Winter Jacket,Fashion,1531,C008,3570,3
O2082,2019,1,26,P007,Treadmill,Gym Products,45,C002,42840,3
O3340,2019,1,26,P009,Yoga Mats,Gym Products,4014,C011,1530,15
O0912,2019,1,27,P012,Tea & Coffee Packs,Groceries & Beverages,929,C005,408,28
O3062,2019,1,27,P009,Yoga Mats,Gym Products,4172,C008,1530,18
O5096,2019,1,27,P007,Treadmill,Gym Products,10,C011,42840,6
